bucket_1d,sensor_id,plan_id,energy_1d,total
2021-03-25T00:00:00Z,1,2,10.271127,4805.073300
2021-03-26T00:00:00Z,1,2,8.165218,4815.344427
2021-03-27T00:00:00Z,1,2,8.835051,4823.509645
2021-03-28T00:00:00Z,1,2,8.583229,4832.344696
2021-03-29T00:00:00Z,1,2,10.330249,4840.927925
2021-03-30T00:00:00Z,1,2,8.500888,4851.258174
2021-03-31T00:00:00Z,1,2,7.259313,4859.759062
